pop1	pop2
navajo	williamson
navajo	steelman
navajo	nanita
navajo	como
navajo	s_hayden
navajo	severy
navajo	abrams
navajo	e_fk_piedra
navajo	w_fk_boulder
navajo	kelso
navajo	roan
navajo	dry_gulch
navajo	s_twin
navajo	hunter
navajo	w_antelope
navajo	yellowstone
navajo	san_juan
navajo	bonneville
navajo	greenback
navajo	lahontan
navajo	coastal
navajo	westslope
navajo	rio_grande
williamson	steelman
williamson	nanita
williamson	como
williamson	s_hayden
williamson	severy
williamson	abrams
williamson	e_fk_piedra
williamson	w_fk_boulder
williamson	kelso
williamson	roan
williamson	dry_gulch
williamson	s_twin
williamson	hunter
williamson	w_antelope
williamson	yellowstone
williamson	san_juan
williamson	bonneville
williamson	greenback
williamson	lahontan
williamson	coastal
williamson	westslope
williamson	rio_grande
steelman	nanita
steelman	como
steelman	s_hayden
steelman	severy
steelman	abrams
steelman	e_fk_piedra
steelman	w_fk_boulder
steelman	kelso
steelman	roan
steelman	dry_gulch
steelman	s_twin
steelman	hunter
steelman	w_antelope
steelman	yellowstone
steelman	san_juan
steelman	bonneville
steelman	greenback
steelman	lahontan
steelman	coastal
steelman	westslope
steelman	rio_grande
nanita	como
nanita	s_hayden
nanita	severy
nanita	abrams
nanita	e_fk_piedra
nanita	w_fk_boulder
nanita	kelso
nanita	roan
nanita	dry_gulch
nanita	s_twin
nanita	hunter
nanita	w_antelope
nanita	yellowstone
nanita	san_juan
nanita	bonneville
nanita	greenback
nanita	lahontan
nanita	coastal
nanita	westslope
nanita	rio_grande
como	s_hayden
como	severy
como	abrams
como	e_fk_piedra
como	w_fk_boulder
como	kelso
como	roan
como	dry_gulch
como	s_twin
como	hunter
como	w_antelope
como	yellowstone
como	san_juan
como	bonneville
como	greenback
como	lahontan
como	coastal
como	westslope
como	rio_grande
s_hayden	severy
s_hayden	abrams
s_hayden	e_fk_piedra
s_hayden	w_fk_boulder
s_hayden	kelso
s_hayden	roan
s_hayden	dry_gulch
s_hayden	s_twin
s_hayden	hunter
s_hayden	w_antelope
s_hayden	yellowstone
s_hayden	san_juan
s_hayden	bonneville
s_hayden	greenback
s_hayden	lahontan
s_hayden	coastal
s_hayden	westslope
s_hayden	rio_grande
severy	abrams
severy	e_fk_piedra
severy	w_fk_boulder
severy	kelso
severy	roan
severy	dry_gulch
severy	s_twin
severy	hunter
severy	w_antelope
severy	yellowstone
severy	san_juan
severy	bonneville
severy	greenback
severy	lahontan
severy	coastal
severy	westslope
severy	rio_grande
abrams	e_fk_piedra
abrams	w_fk_boulder
abrams	kelso
abrams	roan
abrams	dry_gulch
abrams	s_twin
abrams	hunter
abrams	w_antelope
abrams	yellowstone
abrams	san_juan
abrams	bonneville
abrams	greenback
abrams	lahontan
abrams	coastal
abrams	westslope
abrams	rio_grande
e_fk_piedra	w_fk_boulder
e_fk_piedra	kelso
e_fk_piedra	roan
e_fk_piedra	dry_gulch
e_fk_piedra	s_twin
e_fk_piedra	hunter
e_fk_piedra	w_antelope
e_fk_piedra	yellowstone
e_fk_piedra	san_juan
e_fk_piedra	bonneville
e_fk_piedra	greenback
e_fk_piedra	lahontan
e_fk_piedra	coastal
e_fk_piedra	westslope
e_fk_piedra	rio_grande
w_fk_boulder	kelso
w_fk_boulder	roan
w_fk_boulder	dry_gulch
w_fk_boulder	s_twin
w_fk_boulder	hunter
w_fk_boulder	w_antelope
w_fk_boulder	yellowstone
w_fk_boulder	san_juan
w_fk_boulder	bonneville
w_fk_boulder	greenback
w_fk_boulder	lahontan
w_fk_boulder	coastal
w_fk_boulder	westslope
w_fk_boulder	rio_grande
kelso	roan
kelso	dry_gulch
kelso	s_twin
kelso	hunter
kelso	w_antelope
kelso	yellowstone
kelso	san_juan
kelso	bonneville
kelso	greenback
kelso	lahontan
kelso	coastal
kelso	westslope
kelso	rio_grande
roan	dry_gulch
roan	s_twin
roan	hunter
roan	w_antelope
roan	yellowstone
roan	san_juan
roan	bonneville
roan	greenback
roan	lahontan
roan	coastal
roan	westslope
roan	rio_grande
dry_gulch	s_twin
dry_gulch	hunter
dry_gulch	w_antelope
dry_gulch	yellowstone
dry_gulch	san_juan
dry_gulch	bonneville
dry_gulch	greenback
dry_gulch	lahontan
dry_gulch	coastal
dry_gulch	westslope
dry_gulch	rio_grande
s_twin	hunter
s_twin	w_antelope
s_twin	yellowstone
s_twin	san_juan
s_twin	bonneville
s_twin	greenback
s_twin	lahontan
s_twin	coastal
s_twin	westslope
s_twin	rio_grande
hunter	w_antelope
hunter	yellowstone
hunter	san_juan
hunter	bonneville
hunter	greenback
hunter	lahontan
hunter	coastal
hunter	westslope
hunter	rio_grande
w_antelope	yellowstone
w_antelope	san_juan
w_antelope	bonneville
w_antelope	greenback
w_antelope	lahontan
w_antelope	coastal
w_antelope	westslope
w_antelope	rio_grande
yellowstone	san_juan
yellowstone	bonneville
yellowstone	greenback
yellowstone	lahontan
yellowstone	coastal
yellowstone	westslope
yellowstone	rio_grande
san_juan	bonneville
san_juan	greenback
san_juan	lahontan
san_juan	coastal
san_juan	westslope
san_juan	rio_grande
bonneville	greenback
bonneville	lahontan
bonneville	coastal
bonneville	westslope
bonneville	rio_grande
greenback	lahontan
greenback	coastal
greenback	westslope
greenback	rio_grande
lahontan	coastal
lahontan	westslope
lahontan	rio_grande
coastal	westslope
coastal	rio_grande
westslope	rio_grande